url	first_seen	portal	title	company	status	location
https://coreweave.com/careers/job?4624132006&board=coreweave&gh_jid=4624132006	2026-06-15	greenhouse-api	Staff Software Engineer, Infrastructure - Marimo	Weights & Biases (CoreWeave)	added	Livingston, NJ / New York, NY / San Francisco, CA/ Sunnyvale, CA / Bellevue, WA / Remote - US
https://jobs.ashbyhq.com/photoroom/0138732d-6f29-4332-bcc7-de9d680e4d39	2026-06-15	ashby-api	Senior Site Reliability Engineer	Photoroom	added	Paris | Remote
https://jobs.ashbyhq.com/synthesia/73b423b5-0fcc-422e-9490-0bb22bcd5a4e	2026-06-15	ashby-api	Technical Support Associate	Synthesia	added	US Remote
https://jobs.ashbyhq.com/synthesia/c6b9462f-91b7-404d-ae28-5bfb950611ba	2026-06-15	ashby-api	Technical Support Specialist - German Speaking	Synthesia	added	UK Remote
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4108094101	2026-06-15	greenhouse-api	Spontaneous Application - Data Engineer	Amplemarket	added	Remote, EMEA/LATAM
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4066888101	2026-06-15	greenhouse-api	Spontaneous Application - Infrastructure Engineer	Amplemarket	added	Remote, EMEA/LATAM
https://jobs.lever.co/mistral/cb2986cc-4768-40b9-9d67-e53d78b247dc	2026-06-15	lever-api	Applied AI, Technical Lead, Forward Deployed AI Engineer - Abu Dhabi	Mistral AI	added	Abu Dhabi
https://jobs.ashbyhq.com/resend/7c0abe7b-04a4-4876-9803-7c07acc869d1	2026-06-15	ashby-api	Data Analyst, Trust & Safety	Resend	added	Americas / Remote / Full-time
https://jobs.ashbyhq.com/resend/5e70f3a9-d7c9-4a69-81b1-765fdf117492	2026-06-15	ashby-api	Deliverability Engineer, Core Sending	Resend	added	Americas / Remote / Full-time
https://jobs.ashbyhq.com/supabase/f18b1173-51c3-4ff6-bcda-89f8111931f4	2026-06-15	ashby-api	Database Support Engineer (AMER)	Supabase	added	Remote
https://jobs.ashbyhq.com/supabase/3889002e-536e-4046-a330-70e942b0cc96	2026-06-15	ashby-api	Database Support Engineer (EMEA)	Supabase	added	Remote
https://jobs.ashbyhq.com/supabase/62945518-2468-4cf5-9f36-904b60f75183	2026-06-15	ashby-api	Database Support Engineer (APAC)	Supabase	added	Remote
https://jobs.ashbyhq.com/supabase/47282e37-34dc-401d-a1cd-dbe85fdd1c22	2026-06-15	ashby-api	Product Manager - Pricing & Billing	Supabase	added	Remote
https://jobs.ashbyhq.com/supabase/e7e19db2-8735-428b-bf22-c7109a3e336a	2026-06-15	ashby-api	Staff Data Analyst, GTM	Supabase	added	Remote
https://jobs.ashbyhq.com/supabase/47bcfdb8-b954-423e-8a9e-85256434575c	2026-06-15	ashby-api	Product Manager - Infrastructure	Supabase	added	Remote
https://jobs.ashbyhq.com/supabase/3d788231-c984-4bf7-bd8f-ca242988db4f	2026-06-15	ashby-api	Head of Observability	Supabase	added	Remote
https://jobs.ashbyhq.com/inngest/ae72d036-b98b-4abb-8454-a687870cf0ca	2026-06-15	ashby-api	Distributed Systems Engineer - Platform	Inngest	added	US/Remote
https://job-boards.greenhouse.io/hightouch/jobs/5718912004	2026-06-15	greenhouse-api	Forward Deployed Marketing Data Scientist	Hightouch	added	Remote (North America)
